"Table 080-0009 Survey of large retailers, monthly (dollars x 1,000)(1)"
Survey or program details:
Monthly Survey of Large Retailers - 5027
Geography,Canada,Canada
Retail Commodity Classification,Sporting goods,Ski and snowboard equipment and accessories for alpine and cross country
Adjustments,Unadjusted,Unadjusted
Jan-1997,45728,5022
Feb-1997,38141,2902
Mar-1997,48934,1707
Apr-1997,85390,630
May-1997,98367,573
Jun-1997,120670,640
Jul-1997,121194,632
Aug-1997,93117,548
Sep-1997,71903,1498
Oct-1997,63872,2056
Nov-1997,69984,4045
Dec-1997,117812,9762
Jan-1998,53239,4798
Feb-1998,44356,3006
Mar-1998,60089,1928
Apr-1998,110104,746
May-1998,123495,722
Jun-1998,124824,761
Jul-1998,133134,716
Aug-1998,90322,546
Sep-1998,74016,1398
Oct-1998,65800,2018
Nov-1998,76283,4667
Dec-1998,125565,11786
Jan-1999,55153,7347
Feb-1999,47122,3740
Mar-1999,68348,2660
Apr-1999,108248,1020
May-1999,127484,816
Jun-1999,137581,893
Jul-1999,143673,855
Aug-1999,102101,684
Sep-1999,82163,1596
Oct-1999,73800,2306
Nov-1999,83556,5151
Dec-1999,150051,13025
Jan-2000,64329,7945
Feb-2000,57272,5326
Mar-2000,78726,2463
Apr-2000,107071,1158
May-2000,134611,955
Jun-2000,149959,1115
Jul-2000,157696,1063
Aug-2000,128371,957
Sep-2000,90783,2076
Oct-2000,84092,2640
Nov-2000,99178,6508
Dec-2000,161999,16285
Jan-2001,72981,10307
Feb-2001,51812,4417
Mar-2001,70953,2827
Apr-2001,128349,1086
May-2001,163409,926
Jun-2001,172567,1125
Jul-2001,165772,1051
Aug-2001,138568,919
Sep-2001,91148,2807
Oct-2001,87002,3724
Nov-2001,100583,7650
Dec-2001,177866,19437
Jan-2002,85948,13514
Feb-2002,64976,7614
Mar-2002,85222,5735
Apr-2002,126683,3480
May-2002,154571,1597
Jun-2002,180067,1609
Jul-2002,181259,1411
Aug-2002,145348,1672
Sep-2002,100488,3000
Oct-2002,93802,7279
Nov-2002,112569,13184
Dec-2002,184103,24055
Jan-2003,96023,19825
Feb-2003,68314,9213
Mar-2003,83356,6931
Apr-2003,131351,2188
May-2003,176520,1509
Jun-2003,186683,1458
Jul-2003,191519,1333
Aug-2003,151679,1806
Sep-2003,104570,3574
Oct-2003,99295,8091
Nov-2003,119896,15642
Dec-2003,205691,33131
Jan-2004,98574,15745
Feb-2004,77043,10305
Mar-2004,93147,5883
